,pop,emp,unemp,seed,count,rate,components
0,3031,1508,148,1.0,1,0.0893719806763285,{49005000702}
1,8035,2545,202,2.0,2,0.07353476519839826,"{49011125200, 49011125702}"
2,4724,2730,289,1.0,1,0.09572706194104008,{49019000200}
3,160135,63187,4412,13.0,38,0.06526723768103078,"{49041975300, 49015976200, 49007000200, 49047968401, 49013940500, 49007000600, 49049001503, 49041975200, 49049010210, 49009960100, 49031960100, 49007000100, 49043964202, 49043964203, 49047968301, 49047968302, 49015976500, 49021110200, 49049000505, 49001100100, 49043964102, 49047968200, 49041975500, 49013940300, 49017000400, 49021110100, 49037942100, 49049010900, 49037978200, 49055979100, 49041975400, 49047940201, 49049010411, 49015976300, 49017000300, 49007000300, 49037942000, 49013940600}"
4,5110,2139,203,1.0,1,0.08667805294619983,{49021110400}
5,1498,1014,79,1.0,1,0.07227813357731015,{49035102100}
6,5222,2106,156,1.0,1,0.06896551724137931,{49035112907}
7,5415,2831,206,1.0,1,0.06783009548896937,{49035113007}
8,7112,3129,272,1.0,1,0.0799764775066157,{49035113408}
9,80724,40116,2820,6.0,15,0.06567915036333147,"{49035102500, 49035114500, 49035102600, 49035102702, 49035113520, 49035102801, 49035102802, 49035113906, 49035102900, 49035100500, 49035100600, 49035113305, 49011127002, 49035103100, 49035113310}"
10,6797,2859,221,1.0,1,0.07175324675324675,{49039972400}
11,3973,1677,119,1.0,1,0.06625835189309577,{49049001602}
12,5088,2680,195,1.0,2,0.06782608695652174,"{49049002400, 49049002801}"
13,11357,5057,370,1.0,1,0.06817763036668509,{49053270700}
14,48198,21747,1519,5.0,14,0.06528840367918852,"{49057201700, 49057201800, 49057200202, 49057201100, 49057200300, 49057201900, 49057210511, 49057200400, 49057201200, 49057210800, 49057201301, 49057201302, 49057211000, 49057211100}"
15,5485,2565,188,1.0,1,0.06828913912095895,{49057210701}
