Type,Time,Amount
Transfer,2/13/18 3:21,232.2
Red Packet,2/19/15 6:59,-77.7
Credit card repayment,1/2/18 0:32,-2000
Red Packet,2/19/15 7:03,-60
Red Packet,2/19/15 19:29,-56
Red Packet,2/7/16 18:49,-50
Transfer,11/23/17 9:42,-55.86
Credit card repayment,11/11/17 13:29,-2000
Credit card repayment,10/23/17 8:19,-2000
Transfer,10/23/17 3:08,3507.74
Red Packet,2/19/15 2:32,-44.4
Credit card repayment,9/27/17 6:43,-2000
Credit card repayment,9/27/17 6:42,-2000
Credit card repayment,9/27/17 6:30,-1000
Credit card repayment,9/27/17 6:30,-1000
Red Packet,2/19/15 19:03,-39.9
Transfer,9/16/17 13:08,3460
Transfer,9/16/17 12:26,3457.29
Red Packet,1/30/17 0:09,-36
Transfer,9/11/17 8:18,67
Red Packet,2/19/15 20:11,-23
Red Packet,2/19/15 13:09,-19.99
Red Packet,2/18/15 20:29,-19.9
Red Packet,2/18/15 20:17,-19
Red Packet,2/19/15 14:01,-18.88
Red Packet,9/19/17 15:04,-16.66
Red Packet,12/4/16 23:46,-12.04
Red Packet,11/18/16 7:01,-11.18
Red Packet,2/19/15 0:55,-11
Red Packet,10/7/17 3:34,-10
Credit card repayment,8/4/17 17:14,-463.53
Withdraw,8/4/17 17:05,-1000
Take-out,8/2/17 12:31,-56
Red Packet,8/23/17 6:35,-10
Grocery,7/21/17 19:40,-22.04
Restaurant,7/21/17 18:04,-10
Face-to-face Transfer,7/21/17 12:36,-30
Face-to-face Transfer,7/20/17 19:10,-34
Face-to-face Transfer,7/19/17 20:40,-6
Face-to-face Transfer,7/19/17 20:04,-25
Grocery,7/18/17 21:02,-8.5
Face-to-face Transfer,7/18/17 20:52,-21.5
Restaurant,7/18/17 19:59,-100
Red Packet,10/24/15 11:13,-10
Face-to-face Transfer,7/17/17 19:39,-31
Face-to-face Transfer,7/16/17 20:18,-15
Grocery,7/16/17 8:08,-7.48
Face-to-face Transfer,7/16/17 8:05,-4
Face-to-face Transfer,7/15/17 20:55,-1.5
Face-to-face Transfer,7/15/17 20:11,-34
Face-to-face Transfer,7/15/17 20:09,-8
Red Packet,2/19/15 1:17,-10
Grocery,7/15/17 10:16,-7.04
Face-to-face Transfer,7/13/17 19:42,-40
Grocery,7/13/17 19:41,-26
Grocery,7/13/17 19:26,-25
Grocery,7/11/17 21:01,-7.04
Face-to-face Transfer,7/11/17 20:42,-7
Grocery,7/10/17 20:34,-19.49
Face-to-face Transfer,7/10/17 20:26,-16
Face-to-face Transfer,7/10/17 19:54,-8
Grocery,7/10/17 9:29,-12.42
Grocery,7/8/17 20:37,-20
Face-to-face Transfer,7/8/17 19:24,-31
Grocery,7/7/17 20:04,-21.5
Face-to-face Transfer,7/7/17 18:56,-33
Face-to-face Transfer,7/6/17 20:33,-11.5
Restaurant,7/6/17 19:40,-99.82
Face-to-face Transfer,7/5/17 12:23,-42
Face-to-face Transfer,7/4/17 17:17,-5.2
Gas,7/4/17 13:36,-130
Face-to-face Transfer,7/4/17 10:37,-1
Face-to-face Transfer,7/4/17 9:44,-30
Hospital registration fee,7/3/17 21:43,-7
Transfer,7/3/17 21:38,4948
Take-out,7/1/17 12:31,-1
Hospital registration fee,7/1/17 10:59,-3.78
Red Packet,1/27/17 17:32,-9.99
Flight ticket CAN-LAX,6/7/17 13:28,-3326
Top up,6/7/17 13:27,1848.83
Take-out,6/6/17 13:28,-38.64
Bluegogo Bike sharing,6/5/17 19:15,-0.5
Donor platform,6/2/17 12:08,-10
Bluegogo Bike sharing,6/2/17 9:45,-0.5
Bluegogo Bike sharing,6/2/17 9:33,-0.5
Car rental service,6/1/17 22:01,-88.35
Mobike bike sharing,5/30/17 19:49,-2
Vending Machine,5/28/17 20:48,-2
Vending Machine,5/28/17 20:39,-0.43
Vending Machine,5/25/17 19:52,-3.6
Mobike bike sharing,5/25/17 11:26,-1
Vending Machine,5/24/17 20:46,-5.4
Transfer,5/22/17 9:22,324
Transfer,5/13/17 6:10,1300
Vending Machine,5/12/17 22:21,-2.5
Vending Machine,5/12/17 21:38,-2.5
Vending Machine,5/11/17 22:08,-2.5
Mobike bike sharing,5/11/17 9:59,-2
Car rental service,5/7/17 11:18,-1
Bluegogo Bike sharing,5/7/17 7:59,-0.5
Bluegogo Bike sharing,5/7/17 7:53,-0.5
Bluegogo Bike sharing,5/6/17 17:13,-0.5
Bluegogo Bike sharing,5/6/17 15:01,-2
QR code transfer,5/3/17 9:20,20
Bluegogo Bike sharing,5/1/17 11:11,-0.5
Mobike bike sharing,4/26/17 23:27,-1
Mobike bike sharing,4/26/17 23:26,-3
Face-to-face Transfer,4/25/17 14:24,-0.2
Bluegogo Bike sharing,4/25/17 12:25,-0.5
Bluegogo Bike sharing,4/25/17 12:06,-0.5
Bluegogo Bike sharing,4/22/17 6:33,-0.5
Bluegogo Bike sharing,4/22/17 6:26,-0.5
SF Mailing service,4/21/17 17:45,-23
Vending Machine,4/20/17 15:22,-3
Bluegogo Bike sharing,4/19/17 12:17,-0.5
Red Packet,1/27/17 17:04,-9.99
Red Packet,1/27/17 15:43,-9.99
Transfer,3/21/17 22:12,10
Mobike bike sharing,3/21/17 10:18,-3
